title,rating,price,promotion,review_num,Brand,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt,popularity_score,popular
"OLLY Probiotic + Prebiotic Gummy, Digestive Support and Gut Health, 500 Million CFUs, Fiber, Adult Chewable Supplement for Men and Women, Peach, 30 Day Supply - 60 Count",4.5,$21.35,,21832.0,OLLY,,"OLLY PROBIOTIC + PREBIOTIC: These chewable adult probiotics deliver a powerful combination of live Probiotics and Prebiotic Fiber to help keep your natural flora and digestion balance*THE GOODS INSIDE: 500 million CFU of Bacillus Coagulans work with your body’s natural bacteria to support a healthy digestive tract and immune system. Prebiotics nourishes your good bacteria so it can thrive and work more efficiently in your body*HOW TO TAKE: Chew one gummy daily, no food or water neededNATURALLY DELICIOUS: These probiotic prebiotic gummies come in naturally flavored Peachy Peach with no artificial colors or flavors and are gluten freeMIX AND MATCH: Delightful and delicious OLLY gummies can be taken together—mix and match as you please",Probiotic,Adult,Peach,60 Count,"Immune Support, Gut Health Support, Digestive Health Support","Ingredients Other Ingredients: Water Sugar Gelatin, Lactic Acid, Citric Acid, Natural Flavor, Tartaric Acid, Coloring from Anthocyanins.;Probiotic",,Vegetarian,['gummy'],0.8167523756812999,1
"Probiotics 70 Billion CFU – 15 Probiotic strains + Organic Prebiotic+ Postbiotic 3-in-1 Complete – Promotes Healthy Digestive & Immune Function –Gas, Bloating, Constipation Support – for Men & Women",4.5,$19.95,,450.0,NaturaLife Labs A Higher Standard,,"3-IN-1 70 Billion Probiotic+, Prebiotic+, Postbiotic+ supports digestive health & immune health. Carefully formulated by experts to help relieve intestinal gas, constipation, and bloating.We deliver a unique and potent formula of 70 Billion CFU Active Cultures with 15 diverse strains, organic prebiotic blend and postbiotic blend.Our 3-in-1 probiotic supplement uses delayed release & PH sensitive capsule technology and patented guard acid protection system. Our bottle provides premier shelf stable technology - no refrigeration required.15 Probiotic strains formulated to enhance and balance the intestinal microflora. Our supplement promotes digestive function by relieving intestinal gas, bloating, and constipation. It also supports healthy immune function. Prebiotic support for probiotic growth and colonization in the intestinal tract. *Prebiotics support the growth of the beneficial gut bacteria. Postbiotic proprietary blend of Lactobacillus and Bifidobacterium fermented metabolites and probiotic derived amino acids support gut lining and a healthy gut. *",,Adult,,30.0 Count,"Constipation Support,Digestive Health",,,Certified Organic,['capsule'],0.647525298595506,0
"Global Healing Ultimate Probiotic Blend Supplement (Floratrex) with Prebiotics for Healthy Digestion, Digestive Tract, and Immune System, Men & Women, 100 Billion CFU, 36 Strains (60 Capsules)",4.5,$59.03,,224.0,Global Healing Center,,"25 LIVE AND ACTIVE PROBIOTIC STRAINS - Each serving contains 75 billion live active CFUs from 25 of the most beneficial strains of bacteria.BOOST YOUR IMMUNE SYSTEM - Research has confirmed that 70%+ of your immune system resides in your gut.PROMOTE INTERNAL BALANCE - Our gut is home to countless bacteria -- some good, some bad. Probiotics like Floratrex promotes the growth of good bacteria to help balance out the bad.DIGESTIVE SUPPORT - Your digestive tract is a complex machine that converts nutrients into energy. Floratrex is even helpful for people with food sensitivities.BEST QUALITY, BEST HANDLING - Global Healing Center employs the highest quality manufacturing standards in the production of Floratrex to ensure maximum potency.",,Adult,,60.0 Count,"Gas Relief,Health","Ingredients Probiotic Blend [Bacillus coagulans, Bacillus subtilis (DE111®), Lactobacillus paracasei, Saccharomyces boulardii, Lactococcus lactis, Lactobacillus plantarum, Lactobacillus acidophilus, Lactobacillus casei, Streptococcus thermophilus, Bifidobacterium animalis lactis, Lactobacillus brevis, Lactobacillus gasseri, Lactobacillus bulgaricus, Lactobacillus delbrueckii, Bacillus coagulans (Lactospore®), Lactobacillus fermentum, Lactobacillus reuteri, Bifidobacterium longum, Bifidobacterium bifidum, Lactobacillus rhamnosus, Lactobacillus salivarius, Bifidobacterium breve, Bifidobacterium lactis, Bacillus clauslii, Pediococcus Acidilactici], organic agave inulin, PreforPro® bacteriophage prebiotic [Myoviridae (LH01), Siphoviridae (LL5), Myoviridae (T4D), Myoviridae (LL112)], Fulvic Acid, Organic Gum Acacia, vegetable capsule (cellulose), Nu-FLOW® organic rice hulls;Bacillus Coagulans",,Vegan,['capsule'],0.6171944495521001,0
"Innate Vitality Probiotics 120 Billion CFUs 34 Strains with Prebiotics & Digestive Enzymes, Digestion & Immunity Health for Women & Men, Shelf Stable, 30 Vegan Capsules",4.5,$19.97,,1584.0,Innate Vitality,,"[120 Billion CFUs, 34 Live Strains] Innate Vitality Probiotics 120 Billion boasts 34 diverse probiotic strains to support a healthy and balanced gut, with a high CFU count to quickly replenish the friendly cultures.* When consumed, these active cultures help promote natural digestion and immune function by supporting gut health.*Way Digestive Support]* Our clinically proven strains are enhanced with organic prebiotic fibers that help feed probiotics and encourage them to grow, as well as 13 types of naturally sourced digestive enzymes that help break down hard-to-digest foods and boost nutrient uptake.*[Delayed-Release and Shelf-Stable] Protected in delayed-release capsules, these probiotics are able to survive the stomach’s acidity and reach the intestines intact where they exert their beneficial effects.* Thanks to the shelf-stable technology, they remain viable regardless of refrigeration, making it perfect for both at-home and on-the-go use.[Proudly Made in the USA] All Innate Vitality Probiotics 120 Billion are made in our GMP certified facility right here in the USA. They are soy-free, gluten-free, dairy-free, Non-GMO & vegetarian, with no corn, no eggs, no wheat, no tree nuts, no peanuts, no fish/shellfish, no cholesterol, no artificial colors, flavors, binders or fillers.[Crafted for Superior Results] When it comes to your health and overall well-being, we don't take any chances. We strive to deliver premium products for you. From ingredient sourcing to product manufacturing, every step meets rigorous standards.",Probiotic,Adult,Unflavoured,30.00 Count,Digestive Health Support,,,,['capsule'],0.7023481602719658,0
Klaire Labs Ther-Biotic Synbiotic Probiotic & a Prebiotic - Digestive Health & Immune Support∗ - Lactobacillus & Bifidobacterium Strains - Low-FODMAP Probiotic Supplement for Men & Women (30 Capsules),4.6,$49.99,,338.0,Klaire Labs,,"A Probiotic Made for Sensitive Stomachs - Powerful probiotic supplement specifically designed for those with restricted diets, sensitive stomachs and food sensitivities.Clinically Proven Probiotics + a Low-FODMAP Prebiotic - Includes seven to support healthy digestion, GI comfort, and immune function.* Combined with a prebiotic to offer more profound effects on the microbiome than probiotics alone.*Feel Results in as Fast as 7 Days - Ther-Biotic starts working right away to reduce occasional constipation, diarrhea, abdominal pain, gas, and bloating. Results may vary.*Hypoallergenic & Non-GMO - Vegetarian-friendly. Suitable for people with sensitivity to dairy or lactose, gluten, whey, soy, fatty foods, legumes, beans and many others. Dairy/casein, gluten, soy free, fish, shellfish, tree nuts, peanuts.Shelf Stable 50 Billion CFU - Delayed-release capsule technology delivers live probiotics where they’re needed most, while patented packaging protects probiotics at room temperature through expiry date. No refrigeration needed.",,Adult,Unflavoured,30.00 Count,Hypoallergenic,"Ingredients Main - Probiotic Blend, SunFiber. See supplement facts for full list of ingredients.",,,['capsule'],0.6588831755695053,0
"Vitamin Bounty Pro-100 Probiotic Capsules - 100 Billion CFU, and 13 Probiotic Strains, Immune and Digestive Support, Gut Health, Digestive Health Probiotic, Delayed Release Embocaps - 60 Capsules",4.5,$32.99,2 Applicable Promotion(s),1094.0,Vitamin Bounty,,"Gluten FreeDairy FreeStrains Include: Saccharomyces boulardii, Lactobacillus plantarum, Lactobacillus acidophilus, Bifidobacterium lactis, Lactobacillus brevis, Lactobacillus casei, Lactobacillus rhamnosus, Lactobacillus salivarius, Lactobacillus paracasei, Lactobacillus bulgaricus, Bifidobacterium bifidum, Bifidobacterium brevis, Bifidobacterium longum",Probiotic,Adult,Unflavoured,60 count,Gut Health Support,"Ingredients 13 Freeze-Dried Probiotic Strains (100 Billion CFU): L. Acidophilus, B. Lactis, L. Brevis, L. Casei, L. Plantarum, L. Rhamnosus, L. Salivarius, L. Paracasei, L. Bulgaricus, B. Bifidum, B. Brevis, B. Longum, S. Boulardii. Other Ingredients: Cellulose (Capsule), Rice Flour, Magnesium Stearate, Silicon Dioxide.",,,['capsule'],0.6862167357873525,0
"Probiotic America® Perfect Biotics 30 Billion CFUs Digestive & Immune Support Supplement, 30 Count",4.6,$71.03,,320.0,Probiotic America,,"Perfect Biotics is scientifically formulated to bring you closer to gut-bacteria-equilibrium...the ideal 80/20 balance of ""good"" vs ""bad"" bacteria to help your immune system run at full strength. Please note, this product contains a manufactured date on the bottle. This is not an expiration date, we guarantee the product for one year from date of manufacture.Perfect Biotics can be especially beneficial to anyone who finds themselves with occasional including gas, bloating, or indigestion.Given the widespread prevalence of artificial sweeteners, processed sugars, and other unnatural ingredients commonly found in the modern American diet, however, Perfect Biotics can be a healthy addition to virtually anyone’s diet.DIGESTIVE & IMMUNE SUPPORT: Gas, bloating, and fatigue can be a thing of the past. Experience increased energy, improved metabolism, better digestion, and the many benefits of a healthy digestive tract. *No Refrigeration Needed: designed to be stable at room temperature, Perfect Biotics is easy to store and great for travel.Easy to use, simply take one capsule daily first thing in the morning.",,Adult,Unflavoured,30.00 Count,Immune Support,,,,['capsule'],0.6565033955907633,0
"Mary Ruth's 3 in 1 Digestive Health Probiotic, 30 CT",4.6,$35.89,,127.0,MaryRuth Organics,,"3-in-1 Daily Digestive Health: A blend of prebiotics, probiotics and postbiotics for women & men support digestive health & gut health in easy to take capsules! Each capsule helps support digestion, microbiome balance, immune function, healthy stress levels, mood, and more!Powerful Blend: This gut health supplement for women & men is a probiotic formula to support gut health & immune function through microbiota changes. You’ll be getting 50 billion CFU and 23 unique pre, pro, and probiotic strains with each serving.Vegan Formula: Proprietary Probiotic & Postbiotic Blend (50 billion CFU), Partially Hydrolyzed Guar Fiber (Sunfiber)Easy To Take: Adults take 1 capsule daily or as recommended by a physician or healthcare professional. Do not exceed recommended dose. Store in a cool, dry place.For Most Lifestyles: MaryRuth's 3-in-1 Probiotics for Digestive Health are Vegan, Non-GMO. Dairy Free, Nut Free, Gluten Free, Soy Free, Sugar Free, Shelf Stable. Made in a GMP Facility. B Corp Certified.",Probiotic,,Unflavoured,30.00 Count,Digestive Health Support,"Partially Hydrolyzed Guar Fiber, Vegan, Non-GMO, Made in a GMP Facility, B Corp Certified.",,Vegan,['capsule'],0.6164000911570964,0
"Garden of Life Dr. Formulated Probiotics Organic Kids+ plus Vitamin C & D, Strawberry Banana, Gluten Dairy & Soy Free Immune & Digestive Health Supplement, No Added Sugar, 30 Chewables (Shelf Stable)",4.6,"Garden of Life Dr. Formulated Probiotics Organic Kids+ Plus Vitamin C & D - Berry Cherry - Gluten, Dairy & Soy Free Immune & Digestive Health Supplement, No Added Sugar, 30 Chewables (Shelf Stable)",,1455.0,Garden of Life,,"PROBIOTICS FOR KIDS: Strawberry Banana flavored chewable, grown without toxic pesticides, antibiotics, hormones and no genetic engineering14 PROBIOTIC STRAINS: acidophilus probioticORGANIC PROBIOTIC: Certified USDA Organic, Non-GMO Project Verified, Gluten Free, Dairy Free, Soy Free, VegetarianDIGESTIVE PROBIOTIC: supports digestive health with prebiotic fiberIMMUNE SUPPORT: Vitamin C from Organic Amla (30mg), Vitamin D (400 IU) help maintain a healthy immune system.",Vitamin C,,Strawberry Banana,30 Count,"Digestive,Digestive Health","Ingredients Vitamin D (as D3) from culture of S. cerevisiae; Kids Probiotic Blend: Lactobacillus acidophilus, Lactobacillus gasseri, Lactobacillus paracasei, Lactobacillus plantarum, Lactobacillus casei, Lactobacillus brevis, Lactobacillus rhamnosus, Lactobacillus salivarius, Lactobacillus bulgaricus, Bifidobacterium lactis, Bifidobacterium breve, Bifidobacterium infantis, Bifidobacterium bifidum, Bifidobacterium longum; Organic Prebiotic Fiber Blend: Organic Acacia Fiber (A. senegal), Organic Whole Cranberry (Vaccinium macrocarpon) (fruit), Organic Emblic (Amla, Phyllanthus emblica) (fruit) Extract. Other Ingredients: Clean Tablet Technology™ Blend (Organic Dextrose, Organic Tapioca Maltodextrin, Organic Sunflower Lecithin, Organic Palm Oil, Organic Guar Gum), Organic Strawberry Banana Flavor. Contains no carriers, fillers, artificial colors, flavors, sweeteners or preservatives.;Prebiotic",,Gluten Free,['chewable'],0.7224548477140144,0
"Renew Life Men's Care Probiotic Capsules, Supports Mens Digestive, Colon, Immune and Respiratory Health, L. Rhamnosus GG, Dairy, Soy and gluten-free, 90 Billion CFU, 30 Count",4.5,$40.58,,9741.0,Renew Life,,"PROBIOTIC FOR MEN: Includes one 30-count bottle of Renew Life Men's Care Probiotic Capsules 90 Billion CFU to support men's digestive, colon, immune and respiratory health (1)CLINICALLY TESTED STRAINS: Probiotic supplement with a blend of 12 different strains to support digestive health, colon health and immune healthDIVERSE FORMULA: Daily probiotic with more clinically studied strains than the leading brand (2) to provide science-backed benefits12 DIVERSE STRAINS: Contains 12 Bifido and Lacto probiotic strains, including the No. 1 most studied strain, the L. rhamnosus GG - for gut health and healthy immune response (3)MULTIPLE BENEFITS: Helps block harmful gut bacteria, improves your gut’s barrier, regulates your immune response, and restores a healthy microbiome in your gutTESTED AND FORMULATED: Includes 90 billion cultures and world-class strains that are clinically tested and formulated by microbiologists and researchersTOP-QUALITY: These delayed-release pills help ensure the probiotics reach your gut alive and guarantee potency, quality and purity through the expiration date",Bifidobacterium lactis BI-04,,Men's 90 Billion CFU,30 Count,Immune Support,"Ingredients Bifido Probiotic Blend 49 Billion CFU, Lacto Probiotic Blend 41 Billion CFU, Other ingredients: Microcrystalline cellulose, capsule, (hypromellose, gellan gum), and medium chain triglycerides See product label for detailed list of ingredients;Probiotic",,Vegetarian,['tablet'],0.7815533023377994,1
"Lifted Naturals Mood Boosting Probiotic 30 Billion CFU - Mood Support Supplement, Prebiotics and Probiotics for Women & Men, Acidophilus Lactobacillus Probiotic, Shelf Stable & Non-GMO, 60 Capsules",4.3,$28.88,,2261.0,,,"TARGETED ""FEEL GOOD"" STRAINS: Unleash the transformative power of our meticulously selected bacterial strains crafted to uplift your mood. Engineered with precision for enhanced mood support, these strains become your daily companions on the journey to a more joyful and positive you with our probiotic and prebiotic for women & men.HIGH POTENCY FOR MOOD & DIGESTION: Elevate your overall well-being with a robust 30 BILLION CFU, boasting the pinnacle of probiotic excellence. This high-potency formula doesn't just aid digestion; it orchestrates a symphony of support for your immune system, leaving you feeling not just good, but fantastic.MOOD ISSUES? IT'S IN YOUR GUT!: Uncover the profound connection between your gut health and mood. Our Mood Probiotic is a carefully formulated solution that addresses both aspects, leveraging powerful bacterial strains and prebiotic GOS in harmony for a holistic approach to well-being.2 MONTH SUPPLY WITH 9 NOURISHING STRAINS: Experience the ultimate in digestive, immunity, and mood support with our blend of 9 carefully curated strains, including the powerful B. Infantis and B. Longum. The generous 60 capsules per bottle ensure a TWO MONTH supply. Nourish your gut with a diverse array of beneficial bacteria for comprehensive well-being.SHELF STABLE - PERFECT FOR TRAVEL: No fridge? No worries! Our pre probiotics for women & men are expertly crafted to be shelf stable, eliminating the need for refrigeration. Pack them in your bag, and take your mood support on the go, ensuring you stay in high spirits wherever your adventures lead.",,,,,,"Ingredients B. INFANTIS – 35624, B. LONGUM – 1714, B. LACTIS – W51, L. BREVIS – DPC6108, L. PLANTARUM – PS128, L. ACIDOPHILUS – NCFM, L. HELVETICUS – NS8, L. RHAMNOSUS – JB-1, B. ANIMALIS – W52",,,,0.670242678149823,0
"MaryRuth Organics Kids Probiotics for Digestive Health, USDA Organic Probiotic Gummies, 2 Month Supply, for Kids, Immune Support, Gut Health Supplement, Vegan, Non-GMO, Gluten Free, 60 Count",4.8,$28.85,,1807.0,MaryRuth Organics,,"Kids Probiotic Gummies: The perfect probiotic for picky eaters! Our Organic Probiotic Gummies for kids, formulated with Bacillus subtilis, may help maintain normal gut comfort & function. Try these strawberry probiotic gummies to support a healthy gut and provide immune support for your child.Probiotics for Digestive Health: The importance of a healthy gut microbiome is becoming increasingly well-known, and providing the gut with probiotics can be beneficial at any age. These gummies may support balanced and healthy microflora, which may help with normal regularity, overall gut comfort, and healthy stools.Vegan Formula: Per Serving (1 Gummy): 2.5 Billion CFU Bacillus subtilis. Other Ingredients: Organic Tapioca Syrup, Organic Cane Sugar, Natural Flavors, Pectin, Citric Acid, Sodium Citrate, Color Added (Organic Black Carrot Juice Concentrate), Organic Sunflower Oil (Containing Carnauba Wax), Organic Corn Starch.Easy-to-Chew Gummies: No more hard-to-swallow pills or capsules! Ages 2-13, take 1 gummy daily or as recommended by a physician or healthcare professional. Each bottle comes with 60 servings. Kid Friendly, Formulated for Kids!Free of Most Common Allergens: MaryRuth's Organic Probiotic Gummies for Children are USDA Organic, Non-GMO Project Verified, Vegan, Pectin Based, No Gelatin, No Artificial Colors, Made in a GMP Facility. Dairy Free, Nut Free, Gluten Free, Made With Organic Cane Sugar. (*Contains Organic Corn Starch)",Bacillus subtilis,,Strawberry,60.0 Count,Immune Support | Digestive and Gut Health for Kids,Ingredients Per Serving (1 Gummy): 2.5 Billion CFU Bacillus subtilis. Other Ingredients: Organic Tapioca Syrup | Organic Cane Sugar | Natural Flavors | Pectin | Citric Acid | Sodium Citrate | Color Added (Organic Black Carrot Juice Concentrate) | Organic Sunflower Oil (Containing Carnauba Wax) | Organic Corn Starch.;Bacillus subtilis,Directions Kids Ages 2-13,Vegan,['gummy'],0.7795185312490891,1
"NewRhythm Probiotics for Women, P-5-P, Vitamin C & Organic Cranberry, 100 Billion CFU 18 Strains, Prebiotics & Probiotics, Vaginal Probiotics for Digestive Health & PH Balance, 60 Capsules, No Dairy",4.6,$19.19,,32933.0,NewRhythm,,"★Made In New York, USA★ NewRhythm Women’s Probiotics is made in a GMP Certificated Facility Based in New York, USA, representing the highest level of technology, quality purity, and consistency. Our Women’s Probiotics is Shelf Stable and does NOT require refrigeration.★5-In-1 Probiotic Formula for Feminine Balance*★ NewRhythm Women’s Probiotics delivers 100 Billion CFU Probiotics, 135 mg Organic Cranberry Extract and 120 mg Prebiotic Blend plus Bioactive Vitamin B6 & C for vaginal, urinary and digestive health as well as menstrual mood maintenance.* Targeted Release Technology helps probiotics survive stomach acids and reach your intestinal and vaginal tract.★Vaginal, Urinary, Hormonal & Digestive Health*★ Women's Probiotics 100 Billion features bioactive Vitamin B6 (P5P) to help boost feel-good vibes and support hormonal balance month-long, for fewer dips and peaks.* Organic cranberry extract helps flush the vaginal & urinary tract and keep your intimate area fresh and clean.* 18 female-focused strains restore the diversity of your microflora and balance pH levels, while vitamin C maintains your natural defenses.*★100% Natural, Non-GMO, Gluten Free★ NewRhythm Women’s Probiotics is formulated with 100% natural ingredients and independently tested in 3rd party labs in the USA. Our supplements are verified non-GMO, gluten-free, and verified free of sugar, soy, yeast, dairy, egg, wheat, corn, peanuts, fish, shellfish, magnesium stearate, artificial ingredients, fillers, binders, and preservatives.★100% Satisfaction Or 100% Money Back, Guaranteed★ We stand behind our products with confidence. If in any way you are not completely satisfied with our products, please let us know in 30 days, and we will give you 100% money back.",probiotic,Adult,Unflavoured,60.00 Count,Digestion Health / Women’s Health,"Ingredients 100 Billion CFU Probiotics (L. plantarum, L. reuteri, L. crispatus, B. longum, L. acidophilus, L. paracasei, L. rhamnosus, L. johnsonii, B. lactis, L. casei, L. gasseri, L. jensenii, B. breve, B. adolescentis, B. infantis, L. lactis, P. acidilactici, P. pentosaceus.), 135 mg of Cranberry, 120 mg of Prebiotics, 10 mg of Vitamin C, 5 mg of Vitamin B6;Probiotics, Cranberry, Prebiotics, Vitamin C & B6",,Vegetarian,['capsule'],0.8584927140043435,1
MaryRuth Organics Gut Flora Health+ Enzymes | Up to 2 Month Supply | Prebiotic Probiotic Digestive Enzymes Blend for Healthy Gut Biome & Digestive Support | Gastrointestinal Health | 60 Capsules,4.5,$26.95,,1272.0,,,"Gut Flora Health+ Enzymes: The gut’s microbiome plays a significant role in overall health! This robust prebiotic, probiotic and enzyme blend is formulated to support gastrointestinal health and maintain a healthy gut environment. Encapsulated in pine-based vegan capsules, you can easily incorporate these into your routine.Multiple Benefits: Enzymes support digestion and probiotics support a healthy microbiome. Enjoy a proprietary enzyme blend of Protease, Cellulase, Chitosanase, and Serrapeptase enzymes.Proprietary Probiotic Blend: Lactobacillus acidophilus, Lactobacillus rhamnosus, Lactobacillus plantarum, Lactobacillus salivarius, Lactobacillus casei, Lactobacillus brevis, Streptococcus thermophiles, Bifidobacterium bifidum, Bifidobacterium lactis, Bifidobacterium longum, Saccharomyces boulardii, Bacillus coagulantPrebiotic Probiotic & Enzyme Complex: Adults take 1 capsule, up to 2 times daily or as recommended by a physician or healthcare professional. For best results, take on an empty stomach with a large glass of water, once in the morning and once in the evening, either 30 minutes before or 2 hours after a meal.For Most Lifestyles: MaryRuth's Gut Flora Enzymes are Non-GMO & Vegan. Dairy Free, Nut Free, Gluten Free, Sugar Free. This product Contains Maltodextrin: which is corn-derived. Each bottle comes with 30-60 servings. Store in a cool, dry place. B Corp Certified.",,,,,,"Ingredients Per Serving (1 Capsule): 3 mg Vitamin C, 0.38 mg Iron; 21 mg Proprietary Probiotic Blend: Lactobacillus acidophilus, L. rhamnosus, L. plantarum L. salivarius, L. casei, L. brevis, Streptococcus thermophilus, Bifidobacterium bifidum, B. lactis, B. longum, Saccharomyces boulardii and Bacillus coagulans; 80 mg Proprietary Enzyme Blend: 12,500 HUT Protease, 2,500 CU Cellulase, 250 U Chitosanase, 5,000 SPU Serrapeptase; Proprietary Prebiotic & Herbal Blend: Fructooligosaccharides, Alfalfa (leaf, stem), Papaya Juice, Fulvic Acid & Ionic Minerals. Other Ingredients: Maltodextrin‡, Hypromellose.",,,,0.6927866366185804,0
"Happy v Dr. Formulated Vaginal Probiotics for Women, Clinically Proven Womens Probiotic for Vaginal Health & pH Balance Complex, Natural BV Treatment & Yeast Infection Prebiotics, 60 Vegan Capsules",4.4,$39.99,,5661.0,Happy v,,"DR FORMULATED WOMEN'S PROBIOTICS FOR VAG HEALTH: Better than 50 billion CFU, lactobacillus acidophilus probiotic is the best probiotics for women digestive health. PREFORPRO Prebiotics makes probiotics 6x more effective*BV TREATMENT FOR WOMEN - 83% of women’s Bacterial Vaginosis symptoms disappeared within 6 months while taking LA-14 and HN001. Targets the root cause, vaginal pH balance, pre-probiotics for women uro viginal health addresses vaginal odor and vaginal itch.PROBIOTICS AND PREBIOTICS FOR WOMEN DIGESTIVE HEALTH — We use the best probiotics for gut health. Clinically Proven, Once daily Probiotic Nutritional Supplements to optimize gut health. Digestion support and Gut supplements for women.VAGINAL AND URINARY PROBIOTICS FOR FEMININE HEALTH: Our clinically tested uro-viginal probiotics with Lactobacillus rhamnosus, crispatus and Lactobacillus reuteri have shown to help protect the vaginal flora and urinary tract against BV UTI and Yeast Infections.DELAYED RELEASE & Shelf Stable: Our Raw & Live Probiotic Capsules pair great with Boric Acid Suppositories & Cranberry pills for Women. No Refrigerated Needed. Made in a USA FDA Inspected cGMP facility. Gluten & Dairy, and Other Major Allergen Free.",,Adult,Unflavoured,60 Count,"Digestive Health Support, pH Balance, Odor Control","Ingredients Transparency Compliant Label: Patented Vaginal Probiotics - Acidophilus Probiotic - Lactobacillus Acidophilus (as LA-14®) - 8B CFU, Lactobacillus Rhamnosus (as HN001™) - 2B CFU; Patented Gut Probiotics - Lactobacillus Reuteri - 2.5B CFU, Lactobacillus Crispatus - 2.5B CFU, Bifidobacterium Lactis - 2.5B CFU, Spore Probiotic - Bacillus Subtilis (as DE111®) - 1B CFU; Digezyme (Amylase, Protease, Cellulase, Lactase, Lipase - 50mg; Preforpro® Bacteriophagic Prebiotic Fiber - 15mg, Biotin 15mg",,Vegan,['capsule'],0.7340733706043572,0
"Ancient Nutrition Probiotics, SBO Probiotics Gut Restore 60 Ct, Promotes Gut Health, Digestive and Immune Support, Gluten Free, Ancient Superfoods Blend, 25 Billion CFUs* Per Serving",4.6,"Ancient Nutrition Regenerative Organic Certified Probiotics for Gut Recovery, Probiotics Gut Recovery, for Healthy Digestion and Immune System Function Support, 50 Billion CFUs* Per Serving, 60 Count",,2019.0,Ancient Nutrition,,"You will receive (1) tub of SBO Gut Restore, 60 Count CapsulesFORMULATED FOR GUT HEALTH – Ancient Nutrition's SBO Probiotics Gut Restore brings together a combination of soil-based probiotic strains and an organic fermented blend of superfoods formulated specifically to help support gut health25 BILLION CFU – Unique blend of shelf-stable probiotics including Saccharomyces boulardii, Bacillus subtilis, Bacillus coagulans, and Bacillus clausii are brought together to provide 25 Billion CFU* (*at time of manufacture). Our Organic Fermented Botanical Blend helps maximize the benefits of a healthy diet.DIGESTIVE & IMMUNE SYSTEM SUPPORT – 2 capsules daily provide healthy digestive and immune system support, making this a super convenient way to support your body with the good bacteria it craves!Our formulas are informed by ancient wisdom and backed by modern science; We use clinically-studied ingredients, backed by research and tested by accredited 3rd party labs for efficacy, GMP Certified for safety and all products are made in the U.S.A.",,Adult,Gut Restore,1.00 Count,Gut Health Support,"Ingredients Magnesium (from magnesium glycinate glutamine chelate), Zinc, Saccharomyces boulardii, Bacillus coagulans, Bacillus clausii, Bacillus subtilis, Organic Fermented Licorice Root, Organic Fermented Marshmallow Root, Organic Turkey Tail (Trametes versicolor) Mycelium, Organic Shiitake Mycelium, Organic Reishi Mycelium, Organic Maitake (Grifola frondosa) Mycelium, Hypromellose;Hypromellose",,Gluten Free,['capsule'],0.7367357371301357,0
"Primal Harvest PREbiotics and PRObiotics for Women & Men, 30 Oral Capsules for Gut Health, 12 Dynamic Strains",4.3,$38.95,2 Applicable Promotion(s),1660.0,Primal Harvest,,"A Holistic Approach to Gut Health: formulated with 31 billion CFUs of dynamic probiotic strains like L. acidophilus and L. reuteriComplete Probiotic Complex: Featuring a blend of various Bifidobacterium and Lactobacillus strains as well as red raspberry seed for additional antioxidantsCreated with PreforPro Probiotic Booster: This formula works to help support your natural gut microbiota with probiotics and prebiotics to help maintain balanceRecommended Dosage: Take one capsule daily, preferably with a morning or afternoon meal, or as recommended by your healthcare provider100% Satisfaction Guarantee: Your satisfaction is our utmost priority. That's why we provide a 90-day money-back guarantee, no questions asked.",CoreBiome Tributyrin,Adult,30 servings (1 Pack),30.0 Count,Gut Health Support,,,,['capsule'],0.6567720026407191,0
Swanson Dr. Stephen Langer's Formula - Natural Probiotic w/Prebiotic FOS - 16-Strain Supplement Promoting Digestive Support w/ 3.2 Billion CFU per Capsule - (60 Veggie Capsules),4.6,$12.99,,1010.0,Swanson,,"PROMOTES DIGESTIVE HEALTH: Featuring probiotic FOS, Swanson's Dr. Stephen Langer formula is specially formulated with diverse strains to promote digestion, gut health, and immune support using ingredients you can trust.POWERFUL FORMULA: Our natural digestive supplement features 16 strains of probiotic almost 4x the strains of other popular formulations with 3.5 billion CFUs per capsule, supporting comprehensive probiotic nourishment.DOSAGE INSTRUCTIONS: Our wellness supplements offer everyday solutions for an enhanced mind, body, and home using only the purest ingredients. For best results, take one veggie capsule per day with water or juice.OUR QUALITY COMMITMENT: For nearly 50 years, Swanson has delivered science-backed health products worldwide. Each wellness supplement is made in our GMP certified facilities, and our purity and potency testing includes independent third-party labs.MONEY BACK GUARANTEE: At Swanson, we guarantee that every health product is made from the purest, freshest ingredients. If you aren't satisfied with any product(s) purchased within the last 30 days, return the unused portion to us for a full refund.",,Adult,,60.0 Count,"Digestive Health,Gut",,,,['capsule'],0.7065448757509813,0
